                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90363,                 1.2391,                0.98646,                0.62368,                0.35402,                0.37814,                0.24757,                0.96202,                0.95887,                 1.0047,             0.00027572,             0.00027572,             0.00027572
                      2,                0.89939,                 0.8073,                 0.9858,                 0.5998,                0.45133,                0.45207,                0.30677,                0.96306,                0.93985,                  1.013,             0.00054243,             0.00054243,             0.00054243
                      3,                0.93632,                0.80153,                0.99583,                0.58052,                 0.4959,                0.47741,                0.31897,                0.92294,                0.84065,                0.97871,             0.00079815,             0.00079815,             0.00079815
                      4,                0.93968,                0.78756,                0.99974,                0.66028,                0.50565,                0.47258,                0.30458,                0.97379,                 0.8532,                0.98884,             0.00078352,             0.00078352,             0.00078352
                      5,                0.91174,                0.76489,                0.97973,                0.59665,                0.48705,                0.48094,                0.31149,                0.93128,                0.77228,                0.97933,             0.00076703,             0.00076703,             0.00076703
                      6,                0.86044,                0.68779,                 0.9597,                0.59281,                0.52128,                0.48916,                0.31867,                0.93027,                0.78736,                0.98238,             0.00075053,             0.00075053,             0.00075053
                      7,                0.85556,                0.67308,                0.96274,                0.66645,                0.40397,                0.42588,                0.28616,                0.90683,                0.82345,                0.97523,             0.00073404,             0.00073404,             0.00073404
                      8,                0.85658,                 0.6721,                0.96404,                0.60014,                0.49665,                0.49838,                0.34191,                0.89548,                0.75959,                0.96556,             0.00071755,             0.00071755,             0.00071755
                      9,                 0.8307,                0.64628,                0.95062,                0.64281,                0.49591,                0.50786,                0.34628,                0.87163,                0.72693,                0.94028,             0.00070105,             0.00070105,             0.00070105
                     10,                0.81731,                0.63051,                0.94492,                0.65181,                0.47739,                 0.5201,                0.36621,                0.85512,                0.73618,                 0.9398,             0.00068456,             0.00068456,             0.00068456
                     11,                0.79987,                0.61221,                0.93825,                 0.6999,                0.49246,                0.53484,                0.37608,                0.83112,                0.69822,                0.94172,             0.00066807,             0.00066807,             0.00066807
                     12,                0.77038,                0.59145,                0.92667,                0.62382,                0.49683,                0.53197,                0.38349,                0.86577,                0.72115,                0.94306,             0.00065157,             0.00065157,             0.00065157
                     13,                0.77666,                 0.5797,                0.92195,                0.72884,                0.49765,                0.58992,                0.41521,                0.86411,                0.68683,                0.95354,             0.00063508,             0.00063508,             0.00063508
                     14,                0.76243,                0.56743,                0.92495,                0.71895,                0.48936,                0.54449,                0.38847,                0.81767,                0.70815,                0.93403,             0.00061859,             0.00061859,             0.00061859
                     15,                0.74061,                0.54175,                0.91927,                0.62485,                0.55416,                 0.5819,                   0.42,                0.82907,                0.67468,                0.93764,             0.00060209,             0.00060209,             0.00060209
                     16,                0.73994,                0.53946,                0.91767,                0.75415,                0.48592,                0.61415,                0.44318,                0.82895,                0.67158,                0.94434,              0.0005856,              0.0005856,              0.0005856
                     17,                0.72993,                0.52402,                0.91031,                0.65404,                0.48972,                 0.5864,                0.43624,                0.80544,                0.69994,                 0.9419,             0.00056911,             0.00056911,             0.00056911
                     18,                0.73705,                0.52393,                0.91364,                0.69369,                 0.5309,                0.58273,                0.42177,                 0.7995,                0.65689,                0.93361,             0.00055261,             0.00055261,             0.00055261
                     19,                0.71512,                0.50769,                0.91029,                 0.6222,                0.51971,                 0.5419,                0.39496,                0.81244,                0.72194,                0.93994,             0.00053612,             0.00053612,             0.00053612
                     20,                 0.7248,                0.51689,                0.90783,                0.49198,                0.58368,                0.54905,                 0.3921,                0.81494,                0.66698,                0.93686,             0.00051963,             0.00051963,             0.00051963
                     21,                0.70894,                0.49674,                0.90702,                0.68172,                0.49898,                0.63803,                0.49497,                0.80604,                0.65211,                0.93057,             0.00050313,             0.00050313,             0.00050313
                     22,                0.68163,                0.48357,                0.89777,                0.61025,                0.56572,                0.62455,                0.47712,                0.78295,                0.67487,                0.92306,             0.00048664,             0.00048664,             0.00048664
                     23,                0.67309,                0.48337,                 0.8889,                0.69733,                 0.5044,                0.60846,                0.46272,                0.78328,                0.66064,                0.92031,             0.00047015,             0.00047015,             0.00047015
                     24,                0.66342,                0.46984,                0.88827,                0.69188,                0.49225,                0.54083,                0.40012,                0.76605,                0.65481,                0.91487,             0.00045365,             0.00045365,             0.00045365
                     25,                0.66849,                0.46599,                0.89052,                0.63648,                 0.5898,                0.59847,                0.44868,                0.75925,                0.66026,                0.92342,             0.00043716,             0.00043716,             0.00043716
                     26,                0.67009,                0.46074,                0.88774,                0.70275,                0.51125,                0.57492,                0.43008,                0.77325,                0.66498,                0.92485,             0.00042066,             0.00042066,             0.00042066
                     27,                0.65732,                0.46311,                0.89205,                0.65644,                 0.5485,                0.62051,                0.47321,                0.77428,                0.65687,                0.92547,             0.00040417,             0.00040417,             0.00040417
                     28,                0.64002,                0.44145,                0.88673,                0.61308,                0.58419,                0.56929,                 0.4281,                0.77958,                0.65598,                0.93446,             0.00038768,             0.00038768,             0.00038768
                     29,                0.63038,                0.44304,                0.87909,                0.59957,                0.56476,                0.56801,                0.43128,                0.76051,                  0.639,                0.91901,             0.00037118,             0.00037118,             0.00037118
